,sku,url,SEO_Title,Meta_Description,H1_Heading,Product_Description,Keywords,JSON-LD_Marker
0,99739196,https://demo.ui.smartie.io/medias/image/f567/99739196_1.jpg,Bolsa de Arroz Étnica - Arroz Jazmín de 1 kg y más variedades saludables,Descubre la Bolsa de Arroz Étnica que incluye arroz Jazmín de 1 kg y otras variedades de Bob's Red Mill. Ideal para preparar deliciosos platos orientales y saludables. ¡Compra ahora y agrega sabor a tus comidas!,Bolsa de Arroz Étnica - Variedades de Arroz Saludables,"La Bolsa de Arroz Étnica es perfecta para quienes buscan calidad y variedad en su cocina. Esta bolsa incluye arroz Jazmín de 1 kg, conocido por su aroma y sabor distintivo, y variedades saludables de Bob's Red Mill. Ideal para preparar platillos orientales, este arroz es versátil y se adapta a numerosas recetas. Disfruta de su textura suave y su capacidad para absorber sabores, convirtiendo tus comidas en una experiencia gourmet. ¡Perfecto para cenas familiares o reuniones con amigos!","['bolsa de arroz étnica', 'arroz jazmín 1 kg', ""arroz Bob's Red Mill"", 'rice bag for Asian cuisine', 'variedades de arroz saludables']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Bolsa de Arroz \u00c9tnica"", ""description"": ""Bolsa que incluye arroz Jazm\u00edn de 1 kg y variedades de Bob's Red Mill. Ideal para platos orientales."", ""brand"": {""@type"": ""Thing"", ""name"": ""Bob's Red Mill""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""5.99"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decor Products"", ""image"": ""https://demo.ui.smartie.io/medias/image/f567/9..."", ""sku"": ""99739196""}"
1,C-161260-Arena,https://demo.ui.smartie.io/medias/image/52f7/thera-retro-cafetera-express_1.webp,Arena Retro Café - Café Crema Classico para un Sabor Tradicional y Aromático,"Descubre Arena Retro Café, el café en grano Lavazza Caffe Crema Classico. Disfruta de un sabor rico y equilibrado en cada taza. Ideal para los amantes del café. ¡Haz de cada momento un ritual!",Arena Retro Café - Deléitate con el sabor auténtico del Café Crema Classico,"Arena Retro Café es el complemento perfecto para los verdaderos amantes del café. Con su mezcla de granos selectos, ofrece un perfil de sabor que combina suavidad y un toque de dulzura, ideal para preparar un espresso o un café con leche. Su aroma intenso y su sabor equilibrado hacen que cada taza sea una experiencia sensorial. Perfecto para disfrutar por la mañana o como un exquisito capricho durante el día. Añade un toque especial a tus momentos de café con Arena Retro Café.","['café en grano', 'café Lavazza', 'Café Crema Classico', 'sabor a café', 'Aromas de café']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Arena Retro Caf\u00e9"", ""description"": ""Arena Retro Caf\u00e9, el caf\u00e9 en grano Lavazza Caffe Crema Classico es perfecto para disfrutar de un sabor rico y equilibrado en cada taza."", ""brand"": {""@type"": ""Thing"", ""name"": ""Lavazza""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""[Precio del producto]"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n"", ""image"": ""https://demo.ui.smartie.io/medias/image/52f7/t..."", ""sku"": ""C-161260-Arena""}"
2,C-161260-Azúl pastel,https://demo.ui.smartie.io/medias/image/adda/thera-retro-cafetera-express-9.webp,Cafetera Retro Azul Pastel - Elegante y Funcional para los Amantes del Café,"Descubre la Cafetera Retro Azul Pastel, una elegante máquina de café ideal para preparar tus bebidas favoritas. Diseño nostálgico y funcionalidad garantizada. ¡Haz del café un momento especial!",Cafetera Retro Azul para el Café Perfecto,"La Cafetera Retro Azul Pastel es la elección perfecta para aquellos que valoran tanto el diseño como la funcionalidad en su experiencia cafetera. Con su atractiva estética retro y su facilidad de uso, podrás preparar deliciosas tazas de café en un abrir y cerrar de ojos. Su diseño elegante no solo aporta un toque de estilo a tu cocina, sino que también permite una óptima extracción de sabor, asegurando que cada sorbo sea una delicia. Ideal para todos los amantes del café y un gran regalo para los entusiastas. Disfruta de la ritualidad de preparar café con una herramienta que no solo funciona bien, sino que también se ve espectacular.","['cafetera retro', 'cafetera azul pastel', 'máquina de café elegante', 'café perfecto', 'decoración cocina']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Cafetera Retro Azul"", ""description"": ""La Cafetera Retro Azul Pastel combina elegancia y funcionalidad, ideal para preparar el caf\u00e9 perfecto."", ""brand"": {""@type"": ""Thing"", ""name"": ""Hario""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""49.99"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n"", ""image"": ""https://demo.ui.smartie.io/medias/image/adda/t..."", ""sku"": ""C-161260-Az\u00fal pastel""}"
3,C-161260-Blanco roto,https://demo.ui.smartie.io/medias/image/efe5/thera-retro-cafetera-express-6.jpg,Cafetera EcoRetro - Elegante y Funcional para tu Cocina,"Descubre la Cafetera EcoRetro en Blanco Crema, una máquina de café que combina elegancia y funcionalidad. Perfecta para disfrutar de un café espresso en casa con estilo.",Cafetera EcoRetro - Blanco Crema,"La Cafetera EcoRetro en Blanco Crema es la elección ideal para los amantes del café que buscan un diseño elegante y una funcionalidad excepcional. Con su estética retro y acabados de alta calidad, esta cafetera no solo embellece tu cocina, sino que también ofrece un rendimiento óptimo para preparar deliciosos espressos. Su fácil uso y mantenimiento la convierten en una opción conveniente para el día a día. Perfecta para reuniones familiares o simplemente disfrutar de un momento de relax con una buena taza de café.","['Cafetera EcoRetro', 'Cafetera espresso', 'Cafetera blanca crema', 'Máquina de café retro', 'Cafetera de diseño']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Cafetera EcoRetro - Blanco Crema"", ""description"": ""La Cafetera EcoRetro en Blanco Crema combina un dise\u00f1o elegante con una funcionalidad excepcional, ideal para preparar espressos en casa."", ""brand"": {""@type"": ""Thing"", ""name"": ""EcoRetro""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""199.99"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n"", ""image"": ""https://demo.ui.smartie.io/medias/image/efe5/t..."", ""sku"": ""C-161260-Blanco roto""}"
4,C-161260-Negro,https://demo.ui.smartie.io/medias/image/9e9c/thera-retro-cafetera-express_4.jpg,Cafetera Express Thera | Máquina de café perfecta para espresso y cappuccino,"Descubre la Cafetera Express Thera, la máquina ideal para los amantes del café. Con su diseño elegante y funcionalidades avanzadas, disfruta de un espresso perfecto en casa.",Cafetera Express Thera - La Mejor Elección para los Amantes del Café,"La Cafetera Express Thera es una máquina de café revolucionaria que combina elegancia y funcionalidad. Diseñada para preparar espresso y cappuccino como un barista profesional, cuenta con potentes características que garantizan una experiencia de café inigualable. Su diseño moderno se adapta a cualquier cocina, mientras que su tecnología avanzada asegura que cada taza tenga el sabor y la textura perfectos. Ideal para el uso diario, la Cafetera Express Thera es fácil de usar y limpiar, convirtiendo la preparación de café en un ritual placentero. ¡Disfruta del auténtico café italiano sin salir de casa!","['Cafetera Express', 'Máquina de café', 'Cafetera para espresso', 'Cafetera de cappuccino', 'Cafetera Thera']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Cafetera Express Thera"", ""description"": ""La Cafetera Express Thera es una m\u00e1quina elegante y funcional ideal para preparar espresso y cappuccino en casa."", ""brand"": {""@type"": ""Thing"", ""name"": ""Thera""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""250.00"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n"", ""image"": ""https://demo.ui.smartie.io/medias/image/9e9c/t..."", ""sku"": ""C-161260-Negro""}"
5,C-161260-Rojo,https://demo.ui.smartie.io/medias/image/9f14/thera-retro-cafetera-express-23.webp,Cafetera EcoRetro Roja | Diseño Elegante y Funcional para el Café Perfecto,"Descubre la Cafetera EcoRetro Roja, una elegante máquina de café que combina estilo y funcionalidad. Ideal para quienes buscan una experiencia cafetera única en casa.",Cafetera EcoRetro Roja - Perfecta para un Café de Calidad en Casa,"La Cafetera EcoRetro Roja es la elección ideal para los amantes del café que buscan una combinación de diseño vintage y rendimiento excepcional. Fabricada con materiales de alta calidad, esta cafetera no solo embellece tu cocina, sino que también garantiza un café delicioso. Su diseño ergonómico facilita el uso diario, mientras que su capacidad permite preparar la cantidad perfecta de café para compartir. Disfruta de una experiencia cafetera inigualable gracias a su eficiente sistema de filtración y a su elegante presentación en rojo vibrante.","['cafetera retro', 'cafetera roja', 'máquina de café elegante', 'café en casa', 'experiencia cafetera']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Cafetera EcoRetro Roja"", ""description"": ""La Cafetera EcoRetro Roja combina un dise\u00f1o vintage con una funcionalidad excepcional, ideal para preparar caf\u00e9 en casa."", ""brand"": {""@type"": ""Thing"", ""name"": ""EcoRetro""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""99.99"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n"", ""image"": ""https://demo.ui.smartie.io/medias/image/9f14/t..."", ""sku"": ""C-161260-Rojo""}"
6,C-161260-Rosa pastel,https://demo.ui.smartie.io/medias/image/c9de/thera-retro-cafetera-express-18.webp,Cafetera Retro Rosa Sueño - Diseño Elegante y Funcional para Amantes del Café,"Descubre la Cafetera Retro Rosa Sueño, perfecta para preparar el café de tus sueños. Con un diseño elegante y fácil de usar, esta cafetera se convertirá en tu aliada en la cocina. ¡Transforma tu ritual del café hoy mismo!",Cafetera Retro Rosa Sueño - La Cafetera Perfecta para Tu Cocina,"La Cafetera Retro Rosa Sueño combina estilo y funcionalidad para los verdaderos amantes del café. Su diseño encantador en color rosa pastel añade un toque de elegancia a cualquier cocina, mientras que su potente sistema garantiza una extracción perfecta de café en cada uso. Con fácil manejo y limpieza, esta cafetera es ideal tanto para principiantes como para baristas experimentados. Prepara café, espresso o infusiones y disfruta de momentos inolvidables alrededor de la mesa. ¡Convierte cada taza en una obra maestra!","['cafetera rosa', 'cafetera retro', 'café de goteo', 'café espresso', 'diseño de cocina']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Cafetera Retro Rosa Sue\u00f1o"", ""description"": ""Cafetera Retro Rosa Sue\u00f1o con dise\u00f1o elegante y funcionalidad \u00f3ptima para amantes del caf\u00e9."", ""brand"": {""@type"": ""Thing"", ""name"": ""Smartie""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""49.99"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Cocina y Hogar"", ""image"": ""https://demo.ui.smartie.io/medias/image/c9de/t..."", ""sku"": ""C-161260-Rosa pastel""}"
7,C-161260-Sage,https://demo.ui.smartie.io/medias/image/188f/thera-retro-cafetera-express-28.webp,Cafetera Express Verde THERA Retro - Máquina de Café Elegante y Eficiente,"Descubre la Cafetera Express Verde THERA Retro, una máquina de café elegante y funcional que hará las delicias de los amantes del café. Disfruta de un café delicioso en casa con estilo.",Cafetera Express Verde THERA Retro: Estilo y Rendimiento para tu Cocina,"La Cafetera Express Verde THERA Retro combina un diseño vintage con la más avanzada tecnología en la elaboración de café. Su elegante color verde no solo aporta un toque retro a tu cocina, sino que también está equipada con beneficios modernos que garantizarán una excelente experiencia al preparar tu café. Con su capacidad para hacer espressos cremosos y su fácil interfaz de usuario, es perfecta tanto para principiantes como para baristas experimentados. Además, su mantenimiento es sencillo, lo que la convierte en la opción ideal para un uso diario. Disfruta de tu café favorito, ya sea en la mañana o por la tarde, con esta hermosa cafetera que destaca por su funcionalidad y estética.","['cafetera express', 'Cafetera Retro THERA', 'máquina de café verde', 'café expreso', 'decoración cocina']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Cafetera Express Verde THERA Retro"", ""description"": ""Cafetera Express Verde THERA Retro, una m\u00e1quina de caf\u00e9 elegante y eficiente con un dise\u00f1o retro."", ""brand"": {""@type"": ""Thing"", ""name"": ""THERA""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""149.99"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n"", ""image"": ""https://demo.ui.smartie.io/medias/image/188f/t..."", ""sku"": ""C-161260-Sage""}"
8,C-161260-Verde pastel,https://demo.ui.smartie.io/medias/image/b4bb/thera-retro-cafetera-express-14.webp,Máquina de café espresso estilo retro verde pastel - Green Barista Retro,"Descubre la Green Barista Retro, una máquina de café espresso con un diseño encantador en verde pastel. Perfecta para los amantes del café que buscan estilo y funcionalidad en su cocina.",Green Barista Retro - Máquina de café espresso en verde pastel,"La Green Barista Retro no es solo una máquina de café, es una declaración de estilo para tu cocina. Con su encantador color verde pastel y su diseño retro, esta máquina logra combinar estética y rendimiento en cada taza de café espresso que prepares. Ideal para baristas en casa, ofrece un control preciso de la temperatura y presión para asegurar que cada extracción sea perfecta. Además, su construcción robusta garantiza durabilidad y una experiencia de uso excepcional. Con la Green Barista Retro, disfrutar de un café de calidad profesional nunca fue tan elegante.","['máquina de café espresso', 'Green Barista Retro', 'café estilo retro', 'máquina de café verde pastel', 'café en casa']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""Green Barista Retro"", ""description"": ""M\u00e1quina de caf\u00e9 espresso en un atractivo dise\u00f1o retro verde pastel, ideal para los amantes del caf\u00e9."", ""brand"": {""@type"": ""Thing"", ""name"": ""Cafelat""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""[Precio del producto]"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n"", ""image"": ""https://demo.ui.smartie.io/medias/image/b4bb/t..."", ""sku"": ""C-161260-Verde pastel""}"
9,C-162778,https://demo.ui.smartie.io/medias/image/b481/wind-calm-ventilador-de-techo-40w-silencioso-o132-cm_4.jpg,Ventilador de Techo BreezeLuz Ecofan: Eficiencia Energética y Diseño Moderno,"Descubre el Ventilador de Techo BreezeLuz Ecofan. Ofrece un diseño elegante y eficiente de 40 cm, ideal para mantener tu espacio fresco y cómodo. Perfecto para cualquier habitación.",Ventilador de Techo BreezeLuz Ecofan: La Solución Perfecta para el Calor,"El BreezeLuz Ecofan es un ventilador de techo con un diámetro de 40 cm que combina estilo y funcionalidad. Diseñado para proporcionar un flujo de aire eficiente, este ventilador es perfecto para cualquier habitación de tu hogar. Su diseño moderno se integra perfectamente en diversas decoraciones, haciendo de él un complemento ideal tanto para espacios contemporáneos como clásicos. Además, su eficiencia energética lo convierte en una opción sostenible, garantizando un bajo consumo sin sacrificar el rendimiento. Con el BreezeLuz Ecofan, disfrutarás de un ambiente fresco y agradable durante los días más calurosos del año.","['ventilador de techo', 'BreezeLuz Ecofan', 'ventilador eficiente', 'decoración ventilador', 'ventilador de 40 cm']","{""@context"": ""http://schema.org"", ""@type"": ""Product"", ""name"": ""BreezeLuz Ecofan"", ""description"": ""Ventilador de techo de 40 cm con dise\u00f1o moderno y eficiente, ideal para mantener tu hogar fresco."", ""brand"": {""@type"": ""Thing"", ""name"": ""BreezeLuz""}, ""offers"": {""@type"": ""Offer"", ""priceCurrency"": ""EU"", ""price"": ""XX.XX"", ""itemCondition"": ""http://schema.org/NewCondition"", ""availability"": ""http://schema.org/InStock""}, ""category"": ""Decoraci\u00f3n Ventilador"", ""image"": ""https://demo.ui.smartie.io/medias/image/b481/w..."", ""sku"": ""C-162778""}"
